team,elo,rank
Ynys Môn,1642.8829995544554,73
Jamaica,1638.7590162530928,74
Cape Verde,1637.890452927927,75
Israel,1632.4091916556285,76
Albania,1631.7865635089079,77
Romania,1630.6548588772873,78
Padania,1630.3264978145855,79
Bosnia and Herzegovina,1626.5492113409914,80
Georgia,1622.1009017221866,81
Northern Cyprus,1619.6609893762234,82
Isle of Wight,1617.6295661218116,83
United Arab Emirates,1615.904669632788,84
Guatemala,1611.3913996264935,85
South Africa,1609.6814818216235,86
Occitania,1609.2829887369423,87
North Macedonia,1607.1047811130522,88
Ghana,1598.467281140201,89
Catalonia,1598.2743777130245,90
Iceland,1591.1785053731883,91
Abkhazia,1587.8500799497806,92
Iraqi Kurdistan,1586.8531494907982,93
Northern Ireland,1585.9862949674716,94
Oman,1582.864212261041,95
Syria,1578.2085353479204,96
Finland,1576.9521406171905,97
County of Nice,1571.2276437168919,98
Rhodes,1569.2836013767585,99
Kárpátalja,1567.1019198429983,100
Palestine,1565.9040283796726,101
Qatar,1565.8764130241616,102
Andalusia,1564.292659580049,103
Benin,1560.7602714818702,104
Réunion,1559.8063660769567,105
New Caledonia,1559.1789788948886,106
Kernow,1557.0810646434143,107
Tamil Eelam,1556.3410408439431,108
Curaçao,1555.4727594799322,109
Suriname,1554.37135574788,110
Guinea,1551.6537699960688,111
Ellan Vannin,1551.1352385699283,112
Kurdistan,1548.9202524726404,113
Belarus,1543.316207051841,114
Bulgaria,1542.5660461353812,115
Angola,1541.9536182089328,116
Panjab,1538.9320342015765,117
Corsica,1537.4322732942753,118
Arameans Suryoye,1537.144866462483,119
Gabon,1535.2170849373524,120
Yorkshire,1533.3196386066566,121
Menorca,1530.3609154936119,122
China PR,1529.5258750292062,123
Maule Sur,1528.6802751485857,124
Bahrain,1527.9098588140353,125
Trinidad and Tobago,1526.6767013343942,126
Artsakh,1526.5882371369328,127
Cascadia,1526.1388409325946,128
Libya,1526.0098768639455,129
Galicia,1524.9904134065364,130
Zambia,1522.8757494412416,131
Chameria,1521.9170181221014,132
Uganda,1520.1341350063828,133
Zanzibar,1519.24576934709,134
Thailand,1518.8281008640029,135
Crimea,1517.613958030083,136
Biafra,1516.3085774511485,137
Asturias,1513.3178709372953,138
Quebec,1513.2451873736256,139
Tahiti,1511.6891413271035,140
Gambia,1511.6398492370304,141
Surrey,1511.576718918043,142
Felvidék,1509.8766035851565,143
Brittany,1509.8150796954396,144
Donetsk PR,1508.6482230455663,145
Parishes of Jersey,1506.1653285068007,146
Canary Islands,1505.1672916496575,147
Elba Island,1504.8305397098143,148
Franconia,1502.694550710799,149
Guadeloupe,1501.487793974975,150
Monaco,1501.0141201176903,151
Mapuche,1500.6471999915343,152
Central Spain,1500.3669376095977,153
Matabeleland,1499.8477972930923,154
North Korea,1499.351272308901,155
Mozambique,1498.5039674855134,156
Madagascar,1496.255998468972,157
Saugeais,1496.227626046262,158
Délvidék,1496.2163348401373,159
Luhansk PR,1495.5914444686055,160
Cilento,1492.8732492287704,161
United Koreans in Japan,1492.066871143982,162
Sealand,1490.974204777165,163
Somaliland,1490.4752400675168,164
Silesia,1490.3029181182173,165
El Salvador,1490.1293372358189,166
Montenegro,1489.7705199627046,167
Ryūkyū,1489.7370903329324,168
Madrid,1488.6539131859172,169
Western Armenia,1488.5348759590802,170
West Papua,1487.2776072354723,171
South Ossetia,1486.8539732876823,172
Shetland,1486.7832234759146,173
Niger,1486.6463226994765,174
Seborga,1486.6156437334892,175
Åland Islands,1484.7562035841015,176
Vietnam,1484.5301735936334,177
Yoruba Nation,1484.3757300613395,178
Guyana,1483.4857585108077,179
Chechnya,1483.4402862888082,180
Sierra Leone,1483.0877741496877,181
Sudan,1482.6669063105812,182
Hmong,1480.265652031879,183
Kazakhstan,1478.561914908336,184
Martinique,1477.4046223999037,185
Kenya,1477.2855249406105,186
Nicaragua,1477.1206385360683,187
Niue,1477.043693134866,188
Malaysia,1476.774686641557,189
East Turkestan,1476.5774726434238,190
Romani people,1476.4508606568086,191
South Yemen,1475.7095808844404,192
North Vietnam,1474.255068739534,193
Kabylia,1472.5847052497422,194
Papua New Guinea,1472.2550103411468,195
Fiji,1471.782560799789,196
Aymara,1470.67252485988,197
Greenland,1470.5977625410098,198
Palau,1470.4380028827122,199
Ticino,1468.2627155164437,200
Togo,1466.9865760881592,201
Gozo,1466.610963516523,202
Equatorial Guinea,1465.3165852301358,203
Republic of St. Pauli,1465.1149850015563,204
Western Isles,1464.7786183360226,205
Manchukuo,1464.7601712322344,206
Székely Land,1463.2227319091685,207
Kuwait,1461.576011579325,208
Găgăuzia,1459.0959567955695,209
Sápmi,1458.497941721483,210
Comoros,1456.8098380970937,211
Indonesia,1456.6725214906312,212
Western Sahara,1455.2844814252624,213
Saarland,1455.0788346062204,214
Zimbabwe,1454.2211461064076,215
Vanuatu,1452.895259652101,216
Namibia,1451.704491848396,217
Lebanon,1451.664954630825,218
Vatican City,1451.6178750113213,219
Two Sicilies,1450.053383803068,220
Dominican Republic,1448.8205746361562,221
Marshall Islands,1446.7438549360454,222
Tajikistan,1446.457438505896,223
Mayotte,1446.1462929176917,224
Saint Barthélemy,1446.0683670438173,225
Kyrgyzstan,1441.43214344648,226
Sark,1441.3899250393947,227
Provence,1441.1665578796355,228
Armenia,1438.797217046315,229
Cuba,1438.1868041560838,230
Rwanda,1435.872144770266,231
Mauritania,1434.0939657620231,232
Ambazonia,1433.2830438320862,233
French Guiana,1430.310696620483,234
Malawi,1428.0123735098352,235
Raetia,1427.4276030627245,236
Micronesia,1427.1457642830453,237
Chagos Islands,1426.640831907859,238
Lesotho,1426.27270854724,239
Orkney,1424.0545280928754,240
Liberia,1423.8214557227886,241
Gotland,1423.6084408512245,242
Solomon Islands,1414.95124913555,243
Western Australia,1414.7558621236844,244
Faroe Islands,1414.6719232397686,245
Luxembourg,1413.2147284677944,246
Botswana,1410.9404080899203,247
Ethiopia,1409.8588172391653,248
Yemen DPR,1409.5713639651772,249
Darfur,1407.690038090899,250
Estonia,1407.324804973734,251
Barawa,1405.6365734571043,252
Saint Helena,1405.5557021383163,253
Tanzania,1404.1409185888406,254
Azerbaijan,1402.2931654023844,255
Burundi,1402.222973480816,256
Saint Pierre and Miquelon,1401.7592845906006,257
Hitra,1399.5998971886843,258
Central African Republic,1399.5003410268337,259
Turkmenistan,1396.6203902829673,260
Vietnam Republic,1390.8919426970679,261
Puerto Rico,1387.3852826936975,262
Guinea-Bissau,1382.4001792552558,263
Sint Maarten,1376.2813781916875,264
Saint Vincent and the Grenadines,1375.9216612561786,265
Kiribati,1374.0025515836062,266
Cyprus,1372.7612236067114,267
Saare County,1366.5735625848688,268
Wallis Islands and Futuna,1362.237030411428,269
Congo,1360.5565608319553,270
Bermuda,1359.9455524716873,271
Latvia,1349.0212153181028,272
Eswatini,1346.1699904399286,273
Saint Martin,1344.6107531224302,274
Philippines,1343.163496994453,275
Yemen,1339.7753756048562,276
Malta,1339.3841942283877,277
Hong Kong,1338.9490657966335,278
Tibet,1338.3499660939283,279
Lithuania,1337.5324437627316,280
Singapore,1328.2963075254513,281
Grenada,1326.944213427171,282
Saint Kitts and Nevis,1326.7561362999268,283
Tuvalu,1322.8261174271836,284
Belize,1319.1845462785259,285
Moldova,1317.9291396014978,286
Samoa,1316.6878572762887,287
Montserrat,1316.5068200345356,288
South Sudan,1311.476978646591,289
Saint Lucia,1307.4968317077544,290
Falkland Islands,1307.0776593092164,291
Frøya,1296.2234247670067,292
Afghanistan,1295.757827599523,293
India,1287.392878430084,294
Chad,1282.4771224028084,295
Aruba,1267.670289607657,296
Bonaire,1266.9594417373526,297
Cook Islands,1261.4580794014025,298
Mauritius,1256.2328342631201,299
Eritrea,1252.5698681942547,300
São Tomé and Príncipe,1249.019952339827,301
Dominica,1243.3605998275912,302
Barbados,1219.282473954181,303
Antigua and Barbuda,1215.3446590599915,304
Myanmar,1205.0318039463039,305
Tonga,1195.0794300785683,306
Bangladesh,1189.3738941123163,307
Turks and Caicos Islands,1188.6365293608897,308
Nepal,1188.4489489694593,309
Cayman Islands,1179.8145703486487,310
Northern Mariana Islands,1170.3476013535324,311
Gibraltar,1166.5338810623189,312
Andorra,1164.9785702253234,313
Somalia,1150.1919092986745,314
Alderney,1148.4629668855746,315
Taiwan,1144.341216810012,316
American Samoa,1143.9827842166712,317
British Virgin Islands,1143.7823764206646,318
Djibouti,1143.584643085103,319
Maldives,1135.350942386463,320
Bahamas,1126.5776404496376,321
United States Virgin Islands,1119.727373358093,322
Cambodia,1114.5536207257926,323
Guam,1108.8880611292914,324
Pakistan,1108.860346101376,325
Mongolia,1106.611227698216,326
Sri Lanka,1094.7199271499671,327
Seychelles,1092.7134356284653,328
Liechtenstein,1085.6982058137137,329
Anguilla,1067.6273758312634,330
Laos,1050.422448375557,331
Brunei,1031.5843530911557,332
Timor-Leste,1024.3814220323927,333
Bhutan,1001.9889524734416,334
Macau,995.8835110469058,335
San Marino,976.2955931234958,336
